name,url,neighborhood,cuisine,review_count,time_window
"1300 on Fillmore","http://www.opentable.com/1300-on-fillmore?p=4&sd=2014-11-28T19:30:00Z&rid=16609&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Pacific Heights","American","110 reviews",0:00
"Fish & Farm","http://www.opentable.com/fish-and-farm?p=4&sd=2014-11-28T19:30:00Z&rid=17245&pt=1000,100,1000,1000,1000&d=11/28/2014 19:15:00,,11/28/2014 19:45:00,11/28/2014 18:45:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","American","81 reviews",0:30
"Bisou","http://www.opentable.com/bisou?p=4&sd=2014-11-28T19:30:00Z&rid=35977&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Castro","French","94 reviews",0:00
"Ironside West Coast BBQ","http://www.opentable.com/ironside-west-coast-bbq?p=4&sd=2014-11-28T19:30:00Z&rid=42529&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission Bay / South Beach","Barbecue","37 reviews",2:16
"Colosseo","http://www.opentable.com/colosseo?p=4&sd=2014-11-28T19:30:00Z&rid=47887&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","Italian","18 reviews",0:00
"Boxing Room","http://www.opentable.com/boxing-room?p=4&sd=2014-11-28T19:30:00Z&rid=64774&pt=100,100,100,100,100&d=11/28/2014 18:30:00,,11/28/2014 20:30:00,11/28/2014 17:15:00,11/28/2014 21:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Creole / Cajun / Southern","169 reviews",2:00
"Central Kitchen","http://www.opentable.com/central-kitchen?p=4&sd=2014-11-28T19:30:00Z&rid=79243&pt=100,100,100,100,100&d=11/28/2014 17:45:00,,11/28/2014 21:30:00,11/28/2014 17:30:00,11/28/2014 22:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission","Contemporary American","173 reviews",3:45
"Minas Brazilian Restaurant","http://www.opentable.com/minas-brazilian-restaurant?p=4&sd=2014-11-28T19:30:00Z&rid=148204&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Brazilian","91 reviews",0:00
"Chez Papa Bistrot","http://www.opentable.com/chez-papa-bistrot?p=4&sd=2014-11-28T19:30:00Z&rid=3280&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Potrero Hill / Dogpatch","French","64 reviews",0:00
"Americano Restaurant - Hotel Vitale","http://www.opentable.com/americano-restaurant-hotel-vitale?p=4&sd=2014-11-28T19:30:00Z&rid=3972&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Italian","37 reviews",0:00
"The Oak Room - The Westin St. Francis","http://www.opentable.com/the-oak-room-the-westin-st-francis?p=4&sd=2014-11-28T19:30:00Z&rid=7742&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","American","20 reviews",0:00
"Jai Yun","http://www.opentable.com/jai-yun?p=4&sd=2014-11-28T19:30:00Z&rid=37849&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Chinese","10 reviews",0:00
"Urban Putt","http://www.opentable.com/urban-putt?p=4&sd=2014-11-28T19:30:00Z&rid=117271&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:00:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission","American","50 reviews",0:00
"Cafe Tiramisu","http://www.opentable.com/cafe-tiramisu?p=4&sd=2014-11-28T19:30:00Z&rid=167&pt=100,100,100,100,100&d=11/28/2014 18:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 17:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Italian","70 reviews",0:00
"Ideale","http://www.opentable.com/ideale?p=4&sd=2014-11-28T19:30:00Z&rid=282&pt=100,100,100,100,100&d=11/28/2014 18:15:00,,11/28/2014 20:15:00,11/28/2014 18:00:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","Italian","103 reviews",2:00
"Destino","http://www.opentable.com/destino?p=4&sd=2014-11-28T19:30:00Z&rid=443&pt=100,100,100,100,100&d=11/28/2014 18:45:00,,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Castro","Latin American","22 reviews",1:15
"First Crush Restaurant Wine Bar & Lounge","http://www.opentable.com/first-crush-restaurant-wine-bar-and-lounge?p=4&sd=2014-11-28T19:30:00Z&rid=2089&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Californian","105 reviews",0:00
"BOURBON STEAK San Francisco","http://www.opentable.com/bourbon-steak-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=3009&pt=100,100,100,100,100&d=,,11/28/2014 20:45:00,,11/28/2014 21:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Steakhouse","123 reviews",3:46
"Beach Chalet Brewery & Restaurant","http://www.opentable.com/beach-chalet-brewery-and-restaurant?p=4&sd=2014-11-28T19:30:00Z&rid=3034&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Sunset District","American","107 reviews",0:00
"Triptych","http://www.opentable.com/triptych?p=4&sd=2014-11-28T19:30:00Z&rid=5168&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","American","65 reviews",0:00
"MKT Restaurant and Bar","http://www.opentable.com/mkt-restaurant-and-bar?p=4&sd=2014-11-28T19:30:00Z&rid=2989&pt=100,100,100,100,1000&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Steak","42 reviews",0:00
"Amber India","http://www.opentable.com/amber-india-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=24886&pt=100,100,100,100,100&d=11/28/2014 18:45:00,,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Indian","194 reviews",1:15
"Poesia","http://www.opentable.com/poesia?p=4&sd=2014-11-28T19:30:00Z&rid=25075&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Castro","Italian","115 reviews",0:00
"Chotto","http://www.opentable.com/chotto?p=4&sd=2014-11-28T19:30:00Z&rid=26812&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Marina / Cow Hollow / Presidio","Japanese","41 reviews",0:00
"Bocce Cafe","http://www.opentable.com/bocce-cafe?p=4&sd=2014-11-28T19:30:00Z&rid=28240&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","Italian","1 review",0:00
"5A5 Steak Lounge","http://www.opentable.com/5a5-steak-lounge?p=4&sd=2014-11-28T19:30:00Z&rid=30271&pt=100,100,100,1000,1000&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 17:45:00,11/28/2014 21:45:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Steak","190 reviews",0:00
"Commonwealth - San Francisco","http://www.opentable.com/commonwealth-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=47224&pt=100,100,100,100,100&d=,,11/28/2014 20:30:00,,11/28/2014 21:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission","Contemporary American","112 reviews",3:31
"Park Tavern","http://www.opentable.com/park-tavern-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=66796&pt=100,100,100,100,100&d=,,11/28/2014 21:45:00,,11/28/2014 22:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","American","270 reviews",4:46
"Alta CA","http://www.opentable.com/alta-ca?p=4&sd=2014-11-28T19:30:00Z&rid=115105&pt=100,100,100,100,100&d=11/28/2014 17:00:00,,11/28/2014 20:15:00,,11/28/2014 22:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","American","164 reviews",3:16
"Ichi Sushi & Ni Bar","http://www.opentable.com/ichi-sushi-and-ni-bar?p=4&sd=2014-11-28T19:30:00Z&rid=117262&pt=100,100,100,100,100&d=,,11/28/2014 21:45:00,,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission","Japanese","69 reviews",5:02
"Monsieur Benjamin","http://www.opentable.com/monsieur-benjamin?p=4&sd=2014-11-28T19:30:00Z&rid=147469&pt=100,100,100,100,100&d=,,11/28/2014 22:00:00,,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","French","390 reviews",5:02
"Tosca Cafe","http://www.opentable.com/tosca-cafe-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=148891&pt=100,100,100,100,100&d=,,11/28/2014 22:00:00,,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","Italian","187 reviews",5:02
"501 Zingari","http://www.opentable.com/501-zingari?p=4&sd=2014-11-28T19:30:00Z&rid=1702&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Italian","48 reviews",0:00
"Cafe Claude - Downtown","http://www.opentable.com/cafe-claude-downtown?p=4&sd=2014-11-28T19:30:00Z&rid=3592&pt=100,100,100,100,100&d=11/28/2014 17:30:00,,11/28/2014 21:00:00,,11/28/2014 21:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","French","188 reviews",4:01
"Zuni Cafe","http://www.opentable.com/zuni-cafe?p=4&sd=2014-11-28T19:30:00Z&rid=4485&pt=100,100,100,100,100&d=,,11/28/2014 22:00:00,,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Modern European","423 reviews",5:02
"Alamo Square Seafood Grill","http://www.opentable.com/alamo-square-seafood-grill?p=4&sd=2014-11-28T19:30:00Z&rid=5880&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 19:00:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Seafood","58 reviews",0:00
"Players Sports Grill & Arcade","http://www.opentable.com/players-sports-grill-and-arcade?p=4&sd=2014-11-28T19:30:00Z&rid=40531&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Fisherman's Wharf","Contemporary American","10 reviews",0:00
"Clay Oven on Haight","http://www.opentable.com/clay-oven-on-haight?p=4&sd=2014-11-28T19:30:00Z&rid=68089&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Haight","Indian","",0:00
"Hyde Street Seafood House & Raw Bar","http://www.opentable.com/hyde-street-seafood-house-and-raw-bar?p=4&sd=2014-11-28T19:30:00Z&rid=1169&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Russian Hill","Seafood","31 reviews",0:00
"Buca di Beppo - San Francisco","http://www.opentable.com/buca-di-beppo?p=4&sd=2014-11-28T19:30:00Z&rid=1260&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Italian","102 reviews",0:00
"LuLu","http://www.opentable.com/lulu?p=4&sd=2014-11-28T19:30:00Z&rid=1913&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Provencal","86 reviews",0:00
"Hana Zen Yakitori & Sushi Bar","http://www.opentable.com/hana-zen-yakitori-and-sushi-bar?p=4&sd=2014-11-28T19:30:00Z&rid=2340&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Japanese","20 reviews",0:00
"Biscuits and Blues","http://www.opentable.com/biscuits-and-blues?p=4&sd=2014-11-28T19:30:00Z&rid=2474&pt=100,100,100,100,100&d=11/28/2014 17:30:00,,11/28/2014 21:30:00,,&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Southern","111 reviews",5:02
"Bobo's","http://www.opentable.com/bobos?p=4&sd=2014-11-28T19:30:00Z&rid=2776&pt=100,100,100,100,100&d=11/28/2014 17:00:00,,11/28/2014 19:45:00,,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Marina / Cow Hollow / Presidio","Steak","135 reviews",2:46
"Town Hall","http://www.opentable.com/town-hall-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=2777&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","American","183 reviews",0:00
"MarketBar","http://www.opentable.com/marketbar?p=4&sd=2014-11-28T19:30:00Z&rid=2947&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Californian","132 reviews",0:00
"Ruth's Chris Steak House - San Francisco","http://www.opentable.com/ruths-chris-steak-house-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=3099&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 18:45:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Steak","111 reviews",0:00
"Fringale","http://www.opentable.com/fringale?p=4&sd=2014-11-28T19:30:00Z&rid=3128&pt=100,100,100,100,1000&d=11/28/2014 18:00:00,11/28/2014 19:30:00,11/28/2014 19:45:00,,11/28/2014 21:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","French","114 reviews",1:01
"Greens Restaurant","http://www.opentable.com/greens-restaurant-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=3135&pt=100,100,100,100,100&d=,,11/28/2014 20:30:00,,11/28/2014 20:45:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Marina / Cow Hollow / Presidio","Vegetarian / Vegan","554 reviews",3:31
"The Fly Trap","http://www.opentable.com/the-fly-trap?p=4&sd=2014-11-28T19:30:00Z&rid=3250&pt=100,100,100,100,100&d=11/28/2014 18:30:00,,11/28/2014 19:45:00,11/28/2014 18:15:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Mediterranean","83 reviews",1:15
"Florio","http://www.opentable.com/florio?p=4&sd=2014-11-28T19:30:00Z&rid=3377&pt=100,100,100,100,100&d=11/28/2014 18:30:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:00:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Pacific Heights","French","69 reviews",0:00
